지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
156,2024-01-01,5.5,1.3,715,9.3,1428,,,,,,,3.5,270,1510,1.9,270,1512,.7,575,2.3,61,1430,81.5,7.2,1018.7,1029.9,1021,1025.8,1723,1027.5,9.8,4.3,1000,1.48,8.62,,,,,,5.9,5.9,5.6,-4.4,,,,,,,,,,.9,1.4,,
156,2024-01-02,5.8,3.8,452,8.3,1429,,,,,,,4.6,320,1515,1.8,320,1516,.6,500,2.6,62,1533,80.9,7.4,1014,1026.3,1,1020.3,2349,1022.8,9.8,.3,1100,.96,5.19,,,,,,9.1,9,6,-1.9,,,,,,,,,,.6,.9,,
156,2024-01-03,4,2.1,542,7.6,1427,7.18,,,,,4.8,7.2,270,1433,3,290,1437,1,828,1.4,59,1524,84.5,6.8,1012,1023.2,2245,1018.7,1413,1020.8,9.9,2.6,1200,1.66,7.07,,,,,,6.8,6.4,5.1,.4,,,,,,,,,,.8,1.1,,
156,2024-01-04,3.6,-.6,728,8.6,1409,,,,,,,4.9,270,1621,2.9,270,1625,1,869,.1,53,1412,79.1,6.2,1014.7,1025.7,955,1022.4,1559,1023.5,9.9,8.8,1200,2.05,12.09,,,,,,0,0,4.3,-6.3,,,,,,,,,,1.3,1.9,,
156,2024-01-05,6.9,1.4,205,12.6,1406,,,,,,,6.8,250,1507,3.6,270,1539,.7,633,3.5,56,1409,81.1,7.9,1013.3,1023.7,934,1020.1,1518,1022,9.9,5,1100,1.73,9.18,,,,,,6.5,6.5,5.1,-4.5,,,,,,,,,,1.1,1.6,,
156,2024-01-06,4.4,1.4,740,8.1,1525,.27,,,,,0,5,320,1411,3.1,70,1009,1.1,924,-1.5,29,1413,70.3,5.7,1014.1,1024.4,2357,1021.4,1403,1022.8,9.9,8.8,1200,2.09,11.98,,,,,,2,1.1,3.9,-5,,,,,,,,,,1.5,2.1,,
156,2024-01-07,.8,-2.2,2353,3.7,1411,2.77,,,,,0,8.1,50,1139,4,50,1057,2,1743,-5,45,1204,66.5,4.3,1018.1,1029.2,2256,1024.1,425,1027,9.9,6.2,1300,2.29,11,.2,926,.2,926,.2,4.1,4.1,2.6,-5.7,,,,,,,,,,1.3,1.8,,
156,2024-01-08,-.6,-4.9,727,4.6,1541,,,,,,,3.7,70,603,2.1,70,150,1.1,949,-8.6,33,1544,56.5,3.2,1018.3,1029.6,846,1025.1,2348,1027.3,9.9,8.7,1200,2.21,13.37,,,,,,.9,.1,1.7,-9.6,,,,,,,,,,1.4,2,,
156,2024-01-09,2.2,-2,222,6.2,1610,4.57,,,,,2.1,2.7,50,35,1.7,70,801,.5,454,-1.5,58,1240,77.4,5.7,1011.5,1025.1,1,1017.4,2309,1020.3,9.9,0,1200,1.01,4.39,,,,,,9.5,8.4,2.5,-6.5,,,,,,,,,,.5,.7,,
156,2024-01-10,2.4,-1.1,2400,6.6,1457,,,,,,,5.8,340,1701,3.1,70,907,1.3,1098,-1.5,48,1431,77.9,5.6,1011.8,1022.8,2254,1017.7,1,1020.6,10,9,1200,2.07,12.52,,,,,,2.3,2.3,4.6,-7.6,,,,,,,,,,1.3,1.9,,
